ID,Name,Keywords,CodeString,MasterID,SpearmanCorrelation,CorrectedPvalue
1,length,"misc,raw,lengthdep",ST_length,1,NaN,1
90,DN_ProportionValues_zeros,"distribution,raw",DN_ProportionValues_zeros,89,NaN,1
543,seasonality_test,"periodicity",DT_IsSeasonal,270,NaN,1
550,StatAvl500,"stationarity,StatAv",StatAvl500,277,NaN,1
551,StatAvl1000,"stationarity,StatAv",StatAvl1000,278,NaN,1
567,SY_SlidingWindow_m_sampen2_10,"stationarity",SY_SlidingWindow_m_sampen2_10,294,NaN,1
928,DN_Fit_mle_geometric,"distribution,fit",DN_Fit_mle_geometric,569,NaN,1
936,DN_FitKernelSmooth_ncross_005,"distribution,ksdensity,raw,spreaddep",DN_FitKernelSmoothraw.numcross_005,570,NaN,1
937,DN_FitKernelSmooth_ncross_01,"distribution,ksdensity,raw,spreaddep",DN_FitKernelSmoothraw.numcross_010,570,NaN,1
958,lbqtest,"hypothesistest,randomness",HT_HypothesisTest_lbqtest,578,NaN,1
959,lbqtestraw,"hypothesistest,randomness,raw",HT_HypothesisTest_lbqtestraw,579,NaN,1
983,HT_DistributionTest_chi2rayl5,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2rayl5,603,NaN,1
984,HT_DistributionTest_chi2rayl10,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2rayl10,604,NaN,1
985,HT_DistributionTest_chi2rayl25,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2rayl25,605,NaN,1
986,HT_DistributionTest_chi2rayl50,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2rayl50,606,NaN,1
987,HT_DistributionTest_chi2rayl100,"hypothesistest,distribution,raw,posOnly",HT_DistributionTest_chi2rayl100,607,NaN,1
988,HT_DistributionTest_chi2exp5,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2exp5,608,NaN,1
989,HT_DistributionTest_chi2exp10,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2exp10,609,NaN,1
990,HT_DistributionTest_chi2exp25,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2exp25,610,NaN,1
991,HT_DistributionTest_chi2exp50,"hypothesistest,distribution,raw,posOnly",HT_DistributionTest_chi2exp50,611,NaN,1
992,HT_DistributionTest_chi2exp100,"hypothesistest,distribution,raw,posOnly",HT_DistributionTest_chi2exp100,612,NaN,1
993,HT_DistributionTest_chi2gam5,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2gam5,613,NaN,1
994,HT_DistributionTest_chi2gam10,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2gam10,614,NaN,1
995,HT_DistributionTest_chi2gam25,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2gam25,615,NaN,1
996,HT_DistributionTest_chi2gam50,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2gam50,616,NaN,1
997,HT_DistributionTest_chi2gam100,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2gam100,617,NaN,1
998,HT_DistributionTest_chi2logn5,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2logn5,618,NaN,1
999,HT_DistributionTest_chi2logn10,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2logn10,619,NaN,1
1000,HT_DistributionTest_chi2logn25,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2logn25,620,NaN,1
1001,HT_DistributionTest_chi2logn50,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2logn50,621,NaN,1
1002,HT_DistributionTest_chi2logn100,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2logn100,622,NaN,1
1003,HT_DistributionTest_chi2wbl5,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2wbl5,623,NaN,1
1004,HT_DistributionTest_chi2wbl10,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2wbl10,624,NaN,1
1005,HT_DistributionTest_chi2wbl25,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2wbl25,625,NaN,1
1006,HT_DistributionTest_chi2wbl50,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2wbl50,626,NaN,1
1007,HT_DistributionTest_chi2wbl100,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2wbl100,627,NaN,1
1012,HT_DistributionTest_ks_rayl,"hypothesistest,distribution,ks,raw,locdep,posOnly",HT_DistributionTest_ks_rayl,632,NaN,1
1013,HT_DistributionTest_ks_exp,"hypothesistest,distribution,ks,raw,locdep,posOnly",HT_DistributionTest_ks_exp,633,NaN,1
1014,HT_DistributionTest_ks_gam,"hypothesistest,distribution,ks,raw,locdep,posOnly",HT_DistributionTest_ks_gam,634,NaN,1
